id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
44354132,antara_motor,APS PART,Trusted Seller,platinum,40mggjo,As Shock Shok Sok Depan Yamaha Jupiter Z Vega R 5TP Harga Sepasang KDY234,Shockbreaker,Baru,4.9,58,28,97,71,0,80000,96000,17,"As Shock Shok Sok Depan Yamaha Jupiter Z Vega R 5TP <br><br/><br><br/>Harga Sepasang <br><br/>Kode Part : 5TP-F3110-00<br><br/>For Use :<br><br/>- Jupiter Z<br><br/>- Vega R <br><br/><br><br/>SKU : KDY234<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40mfrf8,As Shock Shok Sok Depan Yamaha Jupiter Z Vega R 5TP Harga Satuan KDY234,Shockbreaker,Baru,4.8,25,28,28,38,0,40000,48000,17,"As Shock Shok Sok Depan Yamaha Jupiter Z Vega R 5TP Harga Satuan<br><br/><br><br/>Kode Part : 5TP-F3110-00<br><br/>For Use :<br><br/>- Jupiter Z<br><br/>- Vega R<br><br/><br><br/>SKU :  KDY234<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40j0029,Dispad Kampas Rem Belakang PCX 150 KNZ OEM Class KDH389,Kampas Rem,Baru,5,22,100,9,90,0,11500,13500,15,"<p>Dispad Kampas Rem Belakang PCX 150 KNZ OEM Class </p><p>Merk : KNZ<br>For Use : </p><ul><li>PCX 150</li></ul><p>SKU : ERB047<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40iz1om,Tombol Starter Stater Revo Abs Blade New Beat Fi Vario 125 Scoopy Supra X 125 Fit New KDH386,Sparepart Lainnya,Baru,4.9,115,341,35,615,0,5000,5000,0,"Tombol Starter Stater Revo Abs<br><br/><br><br/>Kode Part :<br><br/>For Use :<br><br/>- Revo Abs<br><br/>- Blade New<br><br/>- Beat Fi<br><br/>- Vario 125<br><br/>- Scoopy<br><br/>- Supra X / Fit <br><br/>- Dll <br><br/><br><br/>SKU : KDH386<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40ivjyn,Cool Starter Arang Areng Stater Honda Tiger Megapro Gl Pro KDH383,Sparepart Lainnya,Baru,4.9,115,47,45,522,0,5000,5000,0,"<p>Cool Starter Arang Areng Stater Honda Tiger Megapro Gl Pro </p><p>Kode Part : 31201-KPT-A01<br>For Use :</p><ul><li>Tiger </li><li>Mega Pro</li><li>Gl Pro</li><li>Dll </li></ul><p>SKU : KDH383<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40it701,Vanbelt V-Belt Panbel Yamaha Nmax N Max 2DP KDY235,Sparepart Lainnya,Baru,4.9,209,37,121,425,0,42000,84000,50,"Vanbelt V-Belt Panbel Yamaha Nmax N Max <br><br/><br><br/>Kode Part : 2DP-E7641-00<br><br/>For Use :<br><br/>- Yamaha Nmax <br><br/><br><br/>SKU :  KDY235<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40hrcpe,Bosh Fork Bos Swing Arm Set Honda Grand Supra X Pnp Smash Shogun KDH387,Sparepart Lainnya,Baru,4.7,115,82,77,612,0,7500,9000,17,"<p>Bosh Fork Bos Swing Arm Set Honda Grand</p><p>Kode Part : 52181-001-302<br>For Use : </p><ul><li>Grand</li><li>Supra X lama</li><li>Smash </li><li>Shogun</li><li>Dll </li></ul><p>SKU :  KDH387<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40hpwth,Bosh Fork Bos Swing Arm Set Yamaha Jupiter Z Mx Vega R F1zr Force Rx King KDY230,Sparepart Lainnya,Baru,4.9,88,7,56,341,0,7500,7500,0,"<p>Bosh Fork Bos Swing Arm Set Yamaha Jupiter Z<br><br>For Use : </p><ul><li>Jupiter Z / Mx</li><li>Vega R</li><li>Rx King</li><li>F1zr / Force </li><li>Dll </li></ul><p>SKU : KDY230<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40fha4j,VANBELT V-BELT BEAT FI ESP-POP-STREET K44 K81,Sparepart Lainnya,Baru,4.9,266,27,113,884,0,30000,60000,50,"VANBELT V-BELT BEAT POP FI K44 <br><br/>For Use / PNP :<br><br/>* Beat Pop Fi K44<br><br/>* Beat Fi ESP K25<br><br/>* Beat Fi Echo K81<br><br/>* Beat Street K81<br><br/>* New Scoopy Fi<br><br/>* Vario 110 Fi<br><br/><br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,3zfjmxm,Striping Lis Sticker Honda Beat Street 2019 Hitam Gold,Sticker & Striping,Baru,0,0,90,3,10,0,25000,25000,0,"Striping Lis Sticker Honda Beat Street 2019 Hitam Gold <br><br/><br><br/>SKU :  KDH268<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
